Text
Sensor 1 current: 101.25 mA tension :5143.5 Nm    Sensor 2 Current: 116.25 mA tension: 5905.5 Nm
Sensor 1 current: 101.25 mA tension :5143.5 Nm    Sensor 2 Current: 116.25 mA tension: 5905.5 Nm
Sensor 1 current: 92.5 mA tension :4699.0 Nm    Sensor 2 Current: 107.5 mA tension: 5461.0 Nm
Sensor 1 current: 90.0 mA tension :4572.0 Nm    Sensor 2 Current: 116.25 mA tension: 5905.5 Nm
Sensor 1 current: 108.75 mA tension :5524.5 Nm    Sensor 2 Current: 107.5 mA tension: 5461.0 Nm
Sensor 1 current: 100.0 mA tension :5080.0 Nm    Sensor 2 Current: 115.0 mA tension: 5842.0 Nm
Sensor 1 current: 96.25 mA tension :4889.5 Nm    Sensor 2 Current: 117.5 mA tension: 5969.0 Nm
Sensor 1 current: 96.25 mA tension :4889.5 Nm    Sensor 2 Current: 115.0 mA tension: 5842.0 Nm
Sensor 1 current: 103.75 mA tension :5270.5 Nm    Sensor 2 Current: 115.0 mA tension: 5842.0 Nm
Sensor 1 current: 102.5 mA tension :5207.0 Nm    Sensor 2 Current: 97.5 mA tension: 4953.0 Nm
Sensor 1 current: 103.75 mA tension :5270.5 Nm    Sensor 2 Current: 111.25 mA tension: 5651.5 Nm
Sensor 1 current: 90.0 mA tension :4572.0 Nm    Sensor 2 Current: 106.25 mA tension: 5397.5 Nm
Sensor 1 current: 93.75 mA tension :4762.5 Nm    Sensor 2 Current: 108.75 mA tension: 5524.5 Nm
Sensor 1 current: 93.75 mA tension :4762.5 Nm    Sensor 2 Current: 116.25 mA tension: 5905.5 Nm
Sensor 1 current: 101.25 mA tension :5143.5 Nm    Sensor 2 Current: 116.25 mA tension: 5905.5 Nm
Sensor 1 current: 103.75 mA tension :5270.5 Nm    Sensor 2 Current: 105.0 mA tension: 5334.0 Nm
Sensor 1 current: 102.5 mA tension :5207.0 Nm    Sensor 2 Current: 113.75 mA tension: 5778.5 Nm
Sensor 1 current: 97.5 mA tension :4953.0 Nm    Sensor 2 Current: 111.25 mA tension: 5651.5 Nm
Sensor 1 current: 92.5 mA tension :4699.0 Nm    Sensor 2 Current: 106.25 mA tension: 5397.5 Nm
Sensor 1 current: 107.5 mA tension :5461.0 Nm    Sensor 2 Current: 106.25 mA tension: 5397.5 Nm
Sensor 1 current: 107.5 mA tension :5461.0 Nm    Sensor 2 Current: 107.5 mA tension: 5461.0 Nm
Sensor 1 current: 108.75 mA tension :5524.5 Nm    Sensor 2 Current: 106.25 mA tension: 5397.5 Nm
Sensor 1 current: 100.0 mA tension :5080.0 Nm    Sensor 2 Current: 112.5 mA tension: 5715.0 Nm
Sensor 1 current: 66.25 mA tension :3365.5 Nm    Sensor 2 Current: 115.0 mA tension: 5842.0 Nm
Sensor 1 current: 66.25 mA tension :3365.5 Nm    Sensor 2 Current: 113.75 mA tension: 5778.5 Nm
Sensor 1 current: 65.0 mA tension :3302.0 Nm    Sensor 2 Current: 112.5 mA tension: 5715.0 Nm
Sensor 1 current: 65.0 mA tension :3302.0 Nm    Sensor 2 Current: 112.5 mA tension: 5715.0 Nm
Sensor 1 current: 68.75 mA tension :3492.5 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 65.0 mA tension :3302.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 66.25 mA tension: 3365.5 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 66.25 mA tension :3365.5 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 66.25 mA tension :3365.5 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 66.25 mA tension :3365.5 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 66.25 mA tension :3365.5 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 66.25 mA tension :3365.5 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 66.25 mA tension :3365.5 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 66.25 mA tension :3365.5 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 68.75 mA tension :3492.5 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 66.25 mA tension :3365.5 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 66.25 mA tension :3365.5 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 70.0 mA tension :3556.0 Nm    Sensor 2 Current: 62.5 mA tension: 3175.0 Nm
Sensor 1 current: 68.75 mA tension :3492.5 Nm    Sensor 2 Current: 62.5 mA tension: 3175.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 68.75 mA tension :3492.5 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 63.75 mA tension: 3238.5 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 66.25 mA tension: 3365.5 Nm
Sensor 1 current: 68.75 mA tension :3492.5 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
Sensor 1 current: 67.5 mA tension :3429.0 Nm    Sensor 2 Current: 65.0 mA tension: 3302.0 Nm
